name_id;full_name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category;position_detail;preferred_side
adama-diomande;Valentin Diomande;5' 11";181 lbs;2.14.1990 (35);Oslo, Norway;Forward;Right;Senior;International;Unknown;Unknown
adam-armour-x0445;Adam Armour;5' 9";146 lbs;9.27.2002 (22);Cary, USA;Defender;;Supplemental Slots 21-24;;Unknown;Unknown
adam-cristman;Adam Cristman;6' 0";190 lbs;1.8.1985 (40);Washington, DC USA;Forward;;;;;
adam-beaudry;Adam Beaudry;6' 2";;4.18.2006 (18);unknown, USA;Goalkeeper;;;Homegrown;;
adam-frye;Adam Frye;5' 8";159 lbs;2.15.1974 (51);Alamogordo, NM USA;Defender;;;;;
adam-buksa;Adam Buksa;6' 3";172 lbs;7.12.1996 (28);Krakow, Poland;Forward;Both;Senior;International, Designated Player;Striker;Centre
adam-clement;Adam Clement;6' 4";194 lbs;10.30.1990 (34);Erie, PA USA;Defender;;;;;
adam-braz;Adam Braz;6' 2";185 lbs;6.7.1981 (43);Montreal, Quebec Canada;Defender;;;;;
adam-bedell;Adam Bedell;6' 7";205 lbs;12.1.1991 (33);Livonia, MI USA;Forward;;;;;
adam-johansson;Adam Johansson;5' 11";165 lbs;2.21.1983 (42);Göteborg, Sweden;Defender;;;;;
adam-kwarasey;Adam Kwarasey;6' 3";181 lbs;12.12.1987 (37);Oslo, Norway;Goalkeeper;;;;;
adam-jahn;Adam Jahn;6' 3";185 lbs;1.5.1991 (34);El Macero, CA USA;Forward;;;;;
adam-henley;Adam Henley;5' 10";170 lbs;6.14.1994 (30);Knoxville, TN USA;Defender;;;;;
adam-grinwis;Adam Grinwis;6' 2";181 lbs;4.21.1992 (32);Ada Township, MI, USA;Goalkeeper;;Supplemental Slots 21-24;;Goalkeeper;Unknown
adam-moffat;Adam John William Moffat;6' 0";181 lbs;5.15.1986 (38);Glasgow, Scotland;Midfielder;;;;;
adam-najem;Adam Najem;5' 8";150 lbs;1.19.1995 (30);Wayne, NJ USA;Midfielder;;;;;
adam-nemec;Adam Nemec;6' 3";185 lbs;9.2.1985 (39);Banska Bystrica, Slovakia;Forward;;;;;
adam-lundkvist;Adam Lundkvist;5' 9";143 lbs;3.20.1994 (31);;Defender;;Senior;;Unknown;Unknown
adam-pearlman;Adam Pearlman;;;4.5.2005 (20);Johannesburg, South Africa;Defender;;;;;
adam-saldana;Adam Saldaña;5' 6";146 lbs;2.7.2002 (23);Panorama City, CA, USA;Midfielder;;Supplemental Slots 25-28;Homegrown;;
adem-sipic;Adem Sipić;6' 1";190 lbs;4.5.2006 (19);Bowling Green, KY, USA;Forward;;Supplemental Slots 25-28;Homegrown;;
adam-williamson;Adam Williamson;5' 10";154 lbs;8.4.1984 (40);Petersburg, NJ USA;Midfielder;;;;;
adam-ruud;Adam Ruud;5' 9";161 lbs;8.16.1983 (41);Hanover Park, IL USA;Midfielder;;;;;
adam-sloustcher;Adam Sloustcher;5' 10";161 lbs;7.31.1987 (37);San Francisco, CA USA;Defender;;;;;
adin-brown;Adin Brown;6' 5";229 lbs;5.27.1978 (46);Berkeley, CA USA;Goalkeeper;;;;;
adam-throop;Adam Throop;6' 6";216 lbs;8.11.1977 (47);;Goalkeeper;;;;;
adam-smarte;Adam Smarte;5' 11";165 lbs;5.9.1987 (37);Monrovia, Liberia;Forward;;;;;
ade-akinbiyi;Ade Akinbiyi;6' 1";192 lbs;10.10.1974 (50);Hackney, England;Forward;;;;;
adilson-malanda;Adilson Malanda;6' 1";165 lbs;10.29.2001 (23);Rouen, France;Defender;Right;Senior;International;;
adolfo-bautista;Adolfo Bautista;6' 0";168 lbs;5.15.1979 (45);Dolores Hidalgo, Mexico;Forward;;;;;
adolfo-machado;Adolfo Machado;6' 0";159 lbs;2.14.1985 (40);Panama City, Panama;Defender;Right;;;Central Defender;Right
adolfo-valencia;Adolfo Valencia;6' 0";170 lbs;1.1.0001 (2024);Buenaventura, Colombia;Forward;;;;;
adonijah-reid;Adonijah Reid;5' 5";150 lbs;8.13.1999 (25);Brampton, ON Canada;Forward;;;;Striker;Centre
adrian-lopez;Adrián López;6' 0";192 lbs;2.25.1987 (38);As Pontes, Spain;Defender;;;;;
adrian-cann;Adrian Cann;6' 3";181 lbs;9.19.1980 (44);Toronto, ON Canada;Defender;;;;;
adisa-de-rosario;Adisa De Rosario;;;10.27.2004 (20);San Jose, CA, USA;Goalkeeper;;;;;
adrian-arregui;Adrian Arregui;5' 9";163 lbs;8.12.1992 (32);;Midfielder;;;;;
adolfo-gregorio;Adolfo Gregorio;5' 8";165 lbs;9.1.1982 (42);Turlock, CA USA;Midfielder;;;;;
adrian-gonzalez;Adrián González;5' 9";139 lbs;6.23.2003 (21);Santa Rosa, USA;Midfielder;;;;;
adrien-regattin;Adrien Regattin;5' 6";148 lbs;8.22.1991 (33);Champigny-sur-Marne, France;Midfielder;;;;;
adrian-paz;Adrian Paz;5' 10";168 lbs;1.1.0001 (2024);Montevideo, Uruguay;Midfielder;;;;;
adrian-wibowo;Adrian Wibowo;;;1.17.2006 (19);;Forward;;;;;
adyn-torres;Adyn Torres;;;11.13.2007 (17);;Midfielder;;Supplemental Slots 25-28;Homegrown;;
adrian-serioux;Adrian Serioux;6' 0";190 lbs;5.12.1979 (45);Scarborough, Ontario Canada;Midfielder;;;;;
adri-mehmeti;Adri Mehmeti;;;4.6.2009 (16);;Midfielder;;;;;
adrian-winter;Adrian Winter;5' 10";165 lbs;7.8.1986 (38);Thalwhil, Switzerland;Midfielder;;;;;
adrian-zendejas;Adrían Zendejas;6' 5";209 lbs;8.30.1995 (29);Chula Vista, CA, USA;Goalkeeper;Right;;;;
adrien-perez;Adrien Perez;6' 0";170 lbs;10.13.1995 (29);Ontario, CA;Forward;;Supplemental Slots 21-24;;Winger;Unknown
adrien-hunou;Adrien Hunou;5' 9";146 lbs;1.19.1994 (31);Evry, France;Midfielder;Right;Senior;International, Designated Player;Attacking Midfielder;Left/Centre/Right
aedan-stanley;Aedan Stanley;5' 11";172 lbs;12.13.1999 (25);Columbia, IL USA;Defender;;Supplemental Slots 25-28;;Full Back;Left
agus;Agustin Garcia;6' 1";170 lbs;5.3.1985 (39);Bonete, Spain;Defender;;;;;
agustin-ojeda;Agustín Ojeda;5' 7";;;Rosario, Argentina;Forward;;;;;
ahmed-hamdi;Ahmed Hamdi;5' 10";150 lbs;2.10.1998 (27);;Midfielder;Right;Senior;International;Attacking Midfielder;Unknown
ager-aketxe;Ager Aketxe;5' 7";146 lbs;12.30.1993 (31);Bilbao, Spain;Midfielder;;;;;
agustin-pelletieri;Agustín Pelletieri;5' 8";159 lbs;5.17.1982 (42);Buenos Aires, Argentina;Midfielder;;;;;
agustin-viana;Agustín Viana;5' 11";165 lbs;8.23.1983 (41);Chicago, IL USA;Defender;;;;;
ahmed-kantari;Ahmed Kantari;6' 1";172 lbs;6.28.1985 (39);Blois, France;Defender;;;;;
ahmed-longmire;Ahmed Longmire;6' 3";190 lbs;10.11.1999 (25);;Defender;;Drafted;;Central Defender;Right
agustin-jara;Agustin Jara;5' 10";181 lbs;6.1.1992 (32);, Córdoba Argentina;Defender;;;;;
aidan-daniels;Aidan Daniels;5' 9";157 lbs;9.6.1998 (26);Ajax, ON Canada;Midfielder;;;;Unknown;Unknown
ahmed-qasem;Ahmed Qasem;6' 0";161 lbs;7.12.2003 (21);Motala, Sweden;Midfielder;;;International, U22 Initiative;;
aiden-mcfadden;Aiden McFadden;5' 9";165 lbs;9.28.1998 (26);West Chester, PA, USA;Defender;;Supplemental Slots 25-28;;;
aidan-heaney;Aidan Heaney;6' 0";170 lbs;1.1.0001 (2024);Newcastle-upon-Tyne, England;Goalkeeper;;;;;
aidan-stokes;Aidan Stokes;6' 0";143 lbs;1.14.2008 (17);unknown, USA;Goalkeeper;;;Homegrown;;
aidan-morris;Aidan Morris;5' 8";135 lbs;11.16.2001 (23);Fort Lauderdale, FL, USA;Midfielder;Right;Senior;Homegrown;Attacking Midfielder;Centre
aiden-jarvis;Aiden Jarvis;;;11.14.2006 (18);;Midfielder;;;;;
aiden-hezarkhani;Aiden Hezarkhani;5' 10";;6.28.2007 (17);Irvine, CA, USA;Midfielder;;;;;
aime-mabika-x2524;Aime Mabika;6' 6";214 lbs;8.16.1998 (26);unknown, Zambia;Defender;Right;Supplemental Slots 21-24;;Unknown;Unknown
aidan-o-connor;Aidan O'Connor;6' 3";216 lbs;10.7.2001 (23);Grand Rapids, MI, USA;Defender;;Supplemental Slots 25-28;;;
a-j-delagarza;Adolph Joseph Joseph DeLaGarza;5' 9";150 lbs;11.4.1987 (37);Bryans Road, USA;Defender;Right;Senior;;Central Defender;Centre
aitor-karanka;Aitor Karanka;6' 1";181 lbs;8.18.1973 (51);Vitoria, Spain;Defender;;;;;
ake-arnaud-loba;Aké Arnaud Loba;5' 10";168 lbs;4.1.1998 (27);Divo, Côte d'Ivoire;Forward;Right;Senior;International, Designated Player;Striker;Centre
akeem-ward;Akeem Ward;5' 7";150 lbs;1.6.1996 (29);Brooklyn, NY USA;Defender;;;;Full Back;Left
a-j-gray;Andrew Gray;;;4.12.1988 (36);Brampton, Ontario Canada;Midfielder;;;;;
aj-cochran;A.J. Cochran;6' 3";194 lbs;2.9.1993 (32);St. Louis, MO USA;Defender;Left;;;Central Defender;Unknown
a-j-wood;A.J. Wood;6' 2";194 lbs;8.17.1973 (51);Pittsburgh, PA USA;Forward;;;;;
a-j-godbolt;Aaron John Godbolt;5' 10";174 lbs;3.7.1984 (41);Boston, MA USA;Midfielder;;;;;
a-j-soares;A.J. Soares;6' 0";170 lbs;11.28.1988 (36);;Defender;;;;;
ajani-fortune;Ajani Fortune;5' 9";165 lbs;12.30.2002 (22);Raleigh, NC, USA;Midfielder;Right;Supplemental Slots 29-30;Homegrown;;
akira-fitzgerald;Akira Fitzgerald;5' 11";174 lbs;7.17.1987 (37);Chiba, Japan;Goalkeeper;;;;Goalkeeper;Unknown
akil-watts;Akil Watts;5' 10";174 lbs;2.4.2000 (25);Fort Wayne, IN, USA;Midfielder;;Supplemental Slots 25-28;;;
alain-nkong;Alain Mosely Nkong;5' 10";165 lbs;4.6.1979 (46);Yaounde, Cameroon;Midfielder;;;;;
alain-rochat;Alain Rochat;6' 0";170 lbs;2.1.1983 (42);Saint-Jean-sur-Richelieu, QC Canada;Defender;;;;;
akira-kaji;Akira Kaji;5' 9";161 lbs;1.13.1980 (45);Minamiawaji, Japan;Defender;;;;;
alam-syamsir;Alam Syamsir;5' 10";170 lbs;6.7.1992 (32);Jakarta, Indonesia;Midfielder;;;;;
alan-benitez;Alan Benítez;5' 10";152 lbs;1.25.1994 (31);;Defender;Right;Senior;International;Full Back;Right
alan-franco;Alan Franco;5' 11";170 lbs;10.11.1996 (28);;Defender;Right;Senior;International;Central Defender;Left/Centre/Right
alain-sutter;Alain Sutter;5' 9";165 lbs;1.1.0001 (2024);Bern, Switzerland;Midfielder;;;;;
alan-carleton;Alan Carleton;5' 8";117 lbs;3.20.2005 (20);Powder Springs, GA, USA;Midfielder;;;;;
alan-winn;Alan Winn;5' 10";165 lbs;2.18.1996 (29);Dallas, TX USA;Forward;;Supplemental Slots 25-28;;Striker;Centre
alan-gordon;Alan Gordon;6' 3";190 lbs;10.16.1981 (43);Long Beach, CA USA;Forward;;;;;
alan-franco-x3781;Alan Franco;5' 9";163 lbs;8.21.1998 (26);Alfredo Baquerizo Moreno, Ecuador;Midfielder;Right;Senior;International;Central Midfielder;Centre
alan-velasco;Alan Velasco;5' 6";139 lbs;7.27.2002 (22);Quilmes, Argentina;Forward;;Senior;International, Young Designated Player;;
alan-woods;Alan Woods;6' 0";170 lbs;10.12.1978 (46);Burtonsville, MD USA;Defender;;;;;
alan-prampin;Alan Prampin;5' 7";165 lbs;11.30.1971 (53);Dallas, TX USA;Forward;;;;;
alan-mariano-mino;Alan Mariano Miño;5' 3";137 lbs;3.28.1994 (31);Mercedes, Argentina;Midfielder;;;;;
alberth-elis;Alberth Elis;6' 0";170 lbs;2.12.1996 (29);San Pedro Sula, Honduras;Forward;Right;;;Unknown;Unknown
alan-pulido;Alan Pulido;5' 10";181 lbs;3.8.1991 (34);Ciudad Victoria, Mexico;Forward;Right;Senior;Designated Player;;
alan-koger;Alan Koger;6' 2";181 lbs;9.23.1987 (37);Spencer, VA USA;Forward;;;;;
alberto-celades;Alberto Celades;5' 10";159 lbs;9.29.1975 (49);Barcelona, Spain;Midfielder;;;;;
alberto-delgado;Alberto Delgado;5' 9";170 lbs;3.11.1978 (47);La Habana, Cuba;Forward;;;;;
alberto-quintero;Alberto Quintero;5' 5";139 lbs;12.18.1987 (37);Panama City, Panama;Midfielder;Right;;;Attacking Midfielder;Left/Centre
albert-rusnak;Albert Rusnák;5' 9";135 lbs;7.7.1994 (30);Vyškov, Slovakia;Midfielder;Both;Senior;Designated Player;;
alberto-rizo;Alberto Rizo;5' 11";181 lbs;2.19.1979 (46);Guadalajara, Mexico;Defender;;;;;
alberto-naveda;Alberto Dante Naveda;5' 10";165 lbs;11.23.1971 (53);San Juan, Argentina;Forward;;;;;
alberto-montoya;Alberto Montoya;5' 6";146 lbs;2.19.1975 (50);Mountain View, CA USA;Midfielder;;;;;
aldo-quintanilla;Aldo Quintanilla;5' 11";183 lbs;5.18.1995 (29);;Forward;;;;Unknown;Unknown
alec-diaz;Alec Diaz;5' 9";154 lbs;12.7.2001 (23);unknown, Puerto Rico;Forward;;;;;
alberto-munoz;Alberto Munoz;5' 9";150 lbs;11.28.1981 (43);Maracaibo, Venezuela;Midfielder;;;;;
alec-dufty;Alec Dufty;6' 5";205 lbs;3.11.1987 (38);Binghamton, NY USA;Goalkeeper;;;;;
alec-purdie;Alec Purdie;5' 10";185 lbs;11.24.1988 (36);Elkhart, IN USA;Forward;;;;;
alec-hughes;Alec Hughes;;;1.22.2002 (23);Glastonbury, CT, USA;Forward;;;;;
alejandro-alvarado;Alejandro Alvarado;5' 8";;7.29.2003 (21);Los Angeles, CA, USA;Midfielder;;;;;
alejandro-bedoya;Alejandro Bedoya;5' 11";161 lbs;4.29.1987 (37);Englewood, NJ, USA;Midfielder;Right;Senior;;;
alecko-eskandarian;Alecko Eskandarian;5' 9";165 lbs;7.9.1982 (42);Montvale, NJ USA;Forward;;;;;
alejandro-bran;Alejandro Bran;5' 9";165 lbs;3.5.2001 (24);San José, Costa Rica;Midfielder;;Senior;International;;
alec-kann;Alec Kann;6' 4";192 lbs;8.8.1990 (34);Decatur, GA, USA;Goalkeeper;;Senior;;;
alec-sundly;Alec Sundly;6' 0";157 lbs;7.8.1992 (32);Capistrano Beach, CA USA;Midfielder;;;;;
alec-smir;Alec Smir;6' 2";183 lbs;4.13.1999 (25);;Goalkeeper;;Senior;;;
aleksandar-katai;Aleksandar Katai;6';154 lbs;2.6.1991 (34);Vrbas, Serbia;Midfielder;Right;;International;Attacking Midfielder;Left/Centre/Right
alejandro-farias;Alejandro Farias;5' 8";161 lbs;1.28.1970 (55);Buenos Aires, Argentina;Midfielder;;;;;
alejandro-fuenmayor;Alejandro Fuenmayor;5' 11";154 lbs;8.29.1996 (28);, Zulia Venezuela;Defender;Right;Senior;;Central Defender;Centre
alejandro-silva;Alejandro Silva;5' 10";150 lbs;9.4.1989 (35);Montevideo, Uruguay;Midfielder;Both;;;Full Back;Right
alejandro-moreno;Alejandro Moreno;5' 9";170 lbs;7.8.1979 (45);Barquisimeto, Venezuela;Forward;;;;;
alejandro-granados;Alejandro Granados;;;5.30.2006 (18);;Midfielder;;;;Attacking Midfielder;Centre
alejandro-guido;Alejandro Guido;5' 11";170 lbs;3.22.1994 (31);San Diego, USA;Midfielder;;Senior;;;
alejandro-pozuelo;Alejandro Pozuelo;5' 7";165 lbs;9.20.1991 (33);Sevilla,;Midfielder;Right;Senior;International, Designated Player;Attacking Midfielder;Left/Centre/Right
alejandro-sequeira;Giovanni Alejandro Sequeira;5' 11";183 lbs;4.27.1975 (49);San Jose, Costa Rica;Forward;;;;;
alejandro-urzua;Alejandro Urzua;;;4.3.2006 (19);Dallas, TX, USA;Midfielder;;;;;
alessandro-nesta;Alessandro Nesta;6' 1";174 lbs;3.19.1976 (49);Rome, Italy;Defender;;;;;
alessandro-biello;Alessandro Biello;6' 1";;4.7.2006 (18);Montréal, Canada;Midfielder;;;;;
alenis-vargas;Alenis Vargas;;;12.4.2003 (21);;Forward;;;;;
alen-stevanovic;Alen Stevanovic;5' 10";165 lbs;1.7.1991 (34);Zurich, Switzerland;Midfielder;;;;;
alen-kozic;Alen Kozic;6' 0";170 lbs;9.27.1976 (48);Belgrade, Yugoslavia;Midfielder;;;;;
aleksandar-vukovic-x1632;Aleksandar Vukovic;6' 4";209 lbs;;Nova Pazova, Serbia;Defender;;;;;
aleksey-miranchuk;Alexey Miranchuk;6' 0";163 lbs;10.17.1995 (29);Slavyansk-na-Kubani, Russia;Midfielder;Left;;Designated Player, International;;
aleksandar-radovanovic;Aleksandar Radovanović;6' 2";183 lbs;11.11.1993 (31);;Defender;Left;Senior;International;Central Defender;Centre
aleksey-korol;Aleksey Korol;5' 10";161 lbs;10.14.1977 (47);Kiev, Ukraine;Forward;;;;;
aleksandr-guboglo;Aleksandr Guboglo;6' 0";174 lbs;3.20.2007 (18);Ottawa, ON, Canada;Defender;;;;;
alexander-alvarado;Alexander Alvarado;5' 5";148 lbs;4.21.1999 (25);Quevedo, Ecuador;Midfielder;Right;Senior;International;Attacking Midfielder;Unknown
alexander-freeman;Alex Freeman;6' 2";;8.9.2004 (20);Baltimore, MD, USA;Defender;;Supplemental Slots 21-24;Homegrown;;
alexander-ring;Alex Ring;5' 10";161 lbs;4.9.1991 (33);Helsinki, Finland;Midfielder;Right;Senior;Designated Player;Unknown;Unknown
alexander-hack;Alexander Hack;6' 4";194 lbs;9.8.1993 (31);Memmingen, Germany;Defender;;;;;
alexander-buttner;Alexander Büttner;5' 9";165 lbs;2.11.1989 (36);Doetinchem, Netherlands;Defender;Left;Senior;International;Full Back;Left
alexander-callens;Alexander Callens;6' 1";181 lbs;5.4.1992 (32);Callao, Peru;Defender;Left;Senior;;Central Defender;Centre
alexander-tambakis;Alexander Tambakis;6' 2";190 lbs;12.8.1992 (32);;Goalkeeper;Right;;;Goalkeeper;Unknown
alexander-lopez;Alexander López;5' 9";157 lbs;6.5.1992 (32);Tegucigalpa, Honduras;Midfielder;Right;;;Unknown;Unknown
alex;Alex Lima;5' 8";154 lbs;12.15.1988 (36);São Paulo, Brazil;Midfielder;;;;;
alessandro-schopf;Alessandro Schöpf;5' 10";163 lbs;2.7.1994 (31);Umhausen, Austria;Midfielder;Right;Senior;International;;
alexandre-pato;Alexandre Pato;5' 9";159 lbs;9.2.1989 (35);Pato Branco, Brazil;Forward;Right;Senior;International;Striker;Left/Centre/Right
alexandru-irinel-matan;Alexandru Matan;5' 6";135 lbs;8.29.1999 (25);Galati, Romania;Midfielder;Right;Senior;International, U22 Initiative;;
alexandros-katranis;Alexandros Katranis;5' 9";154 lbs;5.4.1998 (26);Volos, Greece;Defender;Left;;;;
alexandre-morfaw;Alexandre Morfaw;5' 7";165 lbs;8.31.1987 (37);Douala, Cameroon;Midfielder;;;;;
alex-blake;Alex Blake;6' 1";176 lbs;10.14.1980 (44);Miami, FL USA;Forward;;;;;
alex-bono;Alex Bono;6' 3";209 lbs;4.25.1994 (30);Syracuse, NY, USA;Goalkeeper;;Supplemental Slots 21-24;;;
alex-bengard;Alex Bengard;6' 0";165 lbs;3.13.1979 (46);Chino Hills, CA USA;Midfielder;;;;;
alexandre-gonzalez-emerson;Alexandre Gonzalez Emerson;5' 7";146 lbs;10.2.1992 (32);San Jose, CA USA;Forward;;;;;
alex-bunbury;Alex Bunbury;6' 1";187 lbs;1.1.0001 (2024);Plaisance, Guyana;Forward;;;;;
alexandre-boucicaut;Alexandre Boucicaut;5' 6";148 lbs;11.18.1981 (43);Port-au-Prince, Haiti;Midfielder;;;;;
alex-gersbach;Alex Gersbach;6' 0";161 lbs;5.8.1997 (27);Auburn, Australia;Defender;Left;Senior;International;Full Back;Left
alex-caskey;Alex Caskey;5' 10";152 lbs;7.22.1988 (36);Dunwoody, GA USA;Midfielder;;;;;
alex-de-john;Alex De John;6' 0";176 lbs;5.10.1991 (33);Marlboro Township, NJ USA;Defender;;Supplemental Slots 21-24;;Central Defender;Centre
alex-harris-x4940;Alex Harris;5' 11";161 lbs;2.16.2005 (20);Vancouver, WA, USA;Forward;;;;;
alex-grendi;Alex Grendi;5' 11";165 lbs;7.7.1987 (37);Cold Spring Harbor, NY USA;Midfielder;;;;;
alex-dixon;Alex Dixon;5' 8";150 lbs;2.7.1990 (35);Bay City, TX USA;Midfielder;;;;Winger;Unknown
alex-crognale;Alex Crognale;6' 5";205 lbs;8.27.1994 (30);Columbus, OH USA;Defender;Right;;;Central Defender;Centre
alex-cazumba;Alex Cazumba;6' 1";170 lbs;6.30.1988 (36);Amelia Rodrigues, Brazil;Defender;;;;;
alex-deegan;Alex Deegan;5' 9";174 lbs;1.9.1973 (52);;Goalkeeper;;;;;
alex-comas;Alex Comas;6' 1";170 lbs;11.14.1971 (53);Barranquila, Colombia;Midfielder;;;;;
alex-martinez;Alex Martinez;5' 8";146 lbs;8.25.1991 (33);Montevideo, Uruguay;Midfielder;;;;;
alex-horwath;Alex Horwath;6' 4";194 lbs;3.27.1987 (38);Woodbine, MD USA;Goalkeeper;;;;;
alexi-lalas;Alexi Lalas;6' 3";209 lbs;6.1.1970 (54);Birmingham, MI USA;Defender;;;;;
alex-lee;Alex Lee;5' 10";159 lbs;1.15.1990 (35);Rockville, Maryland USA;Defender;;;;;
alexi-gomez;Alexi Gomez;5' 11";154 lbs;3.4.1993 (32);Callao, Peru;Midfielder;;;;;
alex-monis;Alex Monis;5' 6";132 lbs;3.20.2003 (22);Downers Grove, IL, USA;Forward;Right;Supplemental Slots 25-28;Homegrown;;
alex-muyl;Alex Muyl;5' 11";179 lbs;9.30.1995 (29);New York, NY, USA;Midfielder;Right;Senior;Homegrown;;
alex-kapp;Alex Kapp;6' 0";190 lbs;10.18.1994 (30);Queens, NY USA;Goalkeeper;;;;;
alex-morrell;Alex Morrell;5' 7";135 lbs;5.11.1994 (30);Lakeland, FL USA;Forward;;;;Unknown;Unknown
alex-mighten;Alex Mighten;5' 7";154 lbs;4.11.2002 (22);West Hartford, CT, USA;Forward;Right;;;;
